StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,IH_1,IH_2,IH_3,IH_4,IH_5,IH_6,IH_7,IH_8,IH_9,IH_10,IH_11,IH_12,IH_13,IH_14,IH_15,IH_C1,IH_C2,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,O_1,Q210,Q212,Q214,Q216,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,O_2,Q198,Q200,Q202,Q204,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,O_3,Q186,Q188,Q190,Q192,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,O_4,Q175,Q177,Q179,Q180,Q206_First Click,Q206_Last Click,Q206_Page Submit,Q206_Click Count,O_5,Q163,Q165,Q167,Q169,Q207_First Click,Q207_Last Click,Q207_Page Submit,Q207_Click Count,O_6,Q151,Q153,Q155,Q157,gender,gender_3_TEXT,age,education,income,religion,religion_14_TEXT,race,race_11_TEXT,conservatism,English,debrief_1,debrief_2,debrief_3,debrief_4,attn,SC3,SC5,randomCode
12/10/2018 12:23,12/10/2018 12:41,IP Address,100,1055,TRUE,12/10/2018 12:41,R_1PYI5OqcnjkUXCK,anonymous,EN,I agree,7,4,6,3,2,3,6,7,7,6,3,6,4,8,6,3,7,29.125,67.304,69.26,5,8,Yes,The amount of competing buisnesses and market saturation. ,10-20 years,I eat pizza at least once a month on average. ,11.071,106.794,107.973,6,3,Yes,I am not sure about this one. Maybe its because alot of people are working or busy during football games and have no other choice but to watch them later. Because they can usually watch them at other times there is less incentive to watch live. ,10-20 years,I rarely if ever watch football. I have a weak affiliation with being a fan of the baltimore ravens. I would watch if they got into the superbowl or something big but thats about the extent of it. ,50.419,164.608,164.903,7,3,Yes,"Because america is large. There is a good amount of people who travel over an hour in driving distance to workplaces. Cars are also more ""comfortable "" to americans then others. They are so used to driving at this point that public transportation can seem weird, strange, or offputting. I think its less stressful to go by car and you feel more in control of your day as well. ",10-20 years,I work from home currently and rarely have a reason to drive anywhere. I only go to the local town thats about 5 minutes away by car to do grocery shopping or visit a gas station occasionaly. ,35.138,124.846,125.889,6,"
Definitely yes

 9",No,The advacement of technology in general. More choice and cheaper choices account for alot of it. The culture is more accepting of it as well. ,10-20 years,I rarely watch tv. The only time i use a tv is for news mainly maybe once a week. I watch any tv shows or movies that i want online. I also watch youtube alot more then tv on average. ,29.474,148.468,149.184,7,3,Yes,New generations of people that are increasingl reliant and used to using the internet and technology in general. I think that there will be alot more soon as well. The only issue i see is the lack of internet options and infestructure especially in the us. Where a few major corporations only cater to citys and actively descriminate against everyone else lowering there overall quality of life. ,10-20 years,"I use my gmail account on a daily basis for work and social purposes. I use the internet on average about 8-10 hours a day between work, my phone, and leisure. ",49.037,117.095,155.921,7,3,Yes,"I think that it is faster, quicker, and easier then other methods. It makes more sense because your not wasting any excess coffee and have more control over the exact amount your drinking as well. ",20-30 years,I drink anywhere from 1 cup to 5 cups of coffee a day. I use a single cup brewer.  I am much more likely to drink one cup in the morning to help me to wake up quicker. Less likely to drink more as the day go's on. ,Male,,26,Some college,"$65,000 to $80,000",Roman Catholic,,White/European American,,7,Native (learned from birth),"No, everything went well. ",The influence of information on how people feel about certain topics maybe. ,I do beleive there could be. But i have no good guesses as to what. ,,Yes,78,1,695056
12/10/2018 12:28,12/10/2018 12:42,IP Address,100,864,TRUE,12/10/2018 12:42,R_33xVpLkGHVlHtr4,anonymous,EN,I agree,Agree strongly 9,6,Agree strongly 9,Neither agree nor disagree 5,6,Neither agree nor disagree 5,7,Agree strongly 9,Agree strongly 9,Agree strongly 9,6,7,6,Neither agree nor disagree 5,7,3,7,40.4,81.067,94.617,8,7,Yes,The amount of pizza we are ordering and how much it's in demand.,20-30 years,I have pizza a couple times a month.,43.679,73.098,73.92,7,7,Yes,The price and effort it takes to me in the exact place for live.,20-30 years,I do not watch football.,14.729,47.127,47.662,6,4,Yes,Riding a bike would take a lot of effort and not be as easy.,30-40 years,I drive everyday and use my car for transportation.,44.68,105.396,105.919,5,6,Yes,The growing amount of people with smart phones and smart tvs.,30-40 years,I view television on a streaming service a few hours a day.,79.407,163.632,171.191,5,"Definitely yes

 9",Yes,The increase in devices that use the internet.,10-20 years,I use email and internet daily.,9.298,90.321,90.69,10,5,Yes,The ease of use.,40 or more years,"I drink two coffees a day, one in the morning and one in the afternoon.",Female,,28,High school/GED,"$65,000 to $80,000",Protestant,,White/European American,,Strongly liberal 1,Native (learned from birth),No,How we viewed Americans changing over time.,No,,Yes,105,1,275337
12/10/2018 12:26,12/10/2018 12:43,IP Address,100,1029,TRUE,12/10/2018 12:43,R_pH1RlRiCKEo1QYh,anonymous,EN,I agree,8,Neither agree nor disagree 5,2,3,8,6,Neither agree nor disagree 5,Agree strongly 9,6,8,Disagree strongly 1,6,4,6,8,3,7,22.51,35.355,74.435,4,2,Yes,It's pretty cheap as is. Mostly profit and the requirements to pay for the material itself.,20-30 years,I eat pizza a couple of times a month. It's probably in line with the average.,37.431,83.823,84.886,8,5,Yes,It's expensive to buy tickets to go see a game and requires traveling there.,20-30 years,"I catch a game or two on occasion. It's not important to me, but enjoyable.",7.265,53.894,57.648,8,3,Yes,It's a lot less comforting when it's raining or snowing outside. ,30-40 years,I drive daily for work. It's a necessity where I live.,22.346,70.173,71.177,13,6,Yes,The cheaper costs of producing this material and the convenience from smaller sized devices.,30-40 years,"I watch about 20 hours a week, I would say.",6.317,71.183,73.74,7,7,Yes,It's an easy way to become connected with people from across the world. It's also a requirement for a lot of jobs now.,30-40 years,"I use the Internet and my email extensively every single day, even on weekends.",155.33,446.008,460.597,12,5,Yes,"It's more convenient, especially if you are in a rush. ",20-30 years,I drink a couple of cups of drip-made coffee every day.,Male,,52,High school/GED,"$50,000 to $65,000",Protestant,,White/European American,,6,Native (learned from birth),No,Perception of various issues,"No, I don't think so.",Nope,Yes,85,1,429246
12/10/2018 12:32,12/10/2018 12:44,IP Address,100,691,TRUE,12/10/2018 12:44,R_1drWXNOZMpEI0mN,anonymous,EN,I agree,8,8,2,4,6,7,7,7,6,8,6,8,6,8,Neither agree nor disagree 5,3,7,6.679,53.273,63.941,27,"
5",No,The supply and demand I am assuming. ,10-20 years,I like to have a pizza on a Friday night with my wife here and there.,3.118,79.881,81.033,41,8,Yes,It is a luxury to watch the game live. I also feel like you would need a free schedule and some disposable income to go.,10-20 years,"I don't really watch it at all, to be honest.",71.47,103.837,120.029,37,3,No,To pressed for time or find it more convenient just to drive.,20-30 years,I usually drive to work by myself.,1.531,128.258,128.861,23,5,No,THey are getting cheaper to buy and it is the norm to own one.,20-30 years,I rarely watch TV. I prefer youtube and twitch. ,4.497,69.951,70.198,15,5,Yes,It is easier accessible thanks to smartphones and cheaper cost to access. ,10-20 years,I am a power user of the internet.,7.353,69.074,69.789,18,5,Yes,The advertising and the features of especially the Keurig coffee machine.,10- 20 years,Drink almost every day.,Male,,24,High school/GED,"$50,000 to $65,000",Roman Catholic,,White/European American,,Moderate 5,Native (learned from birth),no,not sure,no,no,Yes,96,1,905728
12/10/2018 12:23,12/10/2018 12:47,IP Address,100,1445,TRUE,12/10/2018 12:47,R_2aCrqwm9PA2SMYO,anonymous,EN,I agree,Agree strongly 9,7,8,2,6,7,6,Agree strongly 9,8,3,2,Disagree strongly 1,4,7,7,3,7,7.037,195.092,196.258,14,"
Definitely yes

 9",Yes,"I always order from the same local store and they charge for each ingredients on a fixed price which also includes the fixed cost of the store like rent/staff, etc.",10-20 years,"I eat a whole pizza every week, I do not have a special pizza day though.",8.761,105.577,106.68,6,8,Yes,"There will be always supporters who will be watching at the stadiums. I think the stadiums are almost full though, so it is about capacity.",20-30 years,I watch my favorite team game on TV,143.185,240.136,241.195,9,3,Yes,people are getting more concerned about the environment and they want to contribute by biking previously but nowadays there are many options to be more environmentally ,20-30 years,I take bus to my work. I only drive if I am going for shopping or any other long distances.,62.229,375.931,377.927,7,4,Yes,"Since there are many great shows and producers (like Netflix, Disney+, Hulu) people are tend to watch more videos, therefore need many devices to watch them whenever possible.",10-20 years,I only watch TV series in different platforms on my TV or laptop.,32.424,72.065,100.683,6,"Definitely yes

 9",Yes,"the communication is fastest and accurate by emails, so it is convenient ",10-20 years,I have to use email for my work and I also use it for other purposes. I cannot live without internet search.,21.718,69.913,70.716,9,6,Yes,the quality of the coffee and the consumption habits,10- 20 years,"a cup of coffee per day for sure, sometimes two",Male,,34,"Master's (M.A., M.S.)","$35,000 to $50,000",Roman Catholic,,White/European American,,3,Native (learned from birth),no,no idea,no,none,Yes,86,1,380415
12/10/2018 12:30,12/10/2018 12:48,IP Address,100,1119,TRUE,12/10/2018 12:48,R_2bHS610nHnreySb,anonymous,EN,I agree,8,7,Neither agree nor disagree 5,3,7,Disagree strongly 1,Neither agree nor disagree 5,Neither agree nor disagree 5,7,Neither agree nor disagree 5,Neither agree nor disagree 5,3,7,7,7,3,7,5.854,41.431,43.206,5,"
5",Yes,Supply and demand.,20-30 years,I eat it about once a month with my family.,4.731,58.033,60.122,14,5,Yes,The cost is too high to attend.,20-30 years,"I mostly watch only the Bears, but will watch Monday Night Football on occasion.",161.436,356.104,357.505,9,"
	Really not good

	1
",No,Who wants to risk their life or injury while riding a bike along with cars?  I don't want to arrive to work sweaty as well.,20-30 years,"I drive almost everywhere except downtown, where it is more convenient to take trains and buses.",4.486,48.808,67.147,6,"
Definitely yes

 9",Yes,"Who doesn't like to watch T.V.?  It's entertaining!
",30-40 years,I don't watch much T.V. unless I'm streaming content.,15.561,49.722,72.175,8,"Definitely yes

 9",Yes,"It's is useful, and fun to use the internet...",10-20 years,Probably the same as others.  I use both every day.,4.921,31.289,42.837,7,5,No,Convenience.,10- 20 years,I have it about 1 or 2 times a week.  ,Male,,40,"Bachelor's (B.A., B.S.)","$65,000 to $80,000",Roman Catholic,,White/European American,,Moderate 5,Native (learned from birth),No.,Don't know,No.,Interesting survey.  Thanks for posting :),Yes,82,1,936224
12/10/2018 12:27,12/10/2018 12:49,IP Address,100,1281,TRUE,12/10/2018 12:49,R_WfmvMHtNqR8Wh4l,anonymous,EN,I agree,6,8,6,7,6,7,7,8,8,6,7,7,Neither agree nor disagree 5,8,7,7,Neither agree nor disagree 5,3.392,98.719,99.165,20,7,Yes,"Even though we looked only at plain cheese pizza, there are subtle stylistic differences that likely lead to price variation. The neighborhood family-friendly pizza place and the typical franchise have much lower prices than artisan wood-fire pizzerias",20-30 years,"Americans eat approximately 100 acres of pizza each day, or 350 slices per second. Pizza is a $30 billion per year industry. There are approximately 61,269 pizzerias in the United States.
",3.564,460.541,476.629,41,7,Yes,"THIS GAME HAS TO BE QUICKLY TO END ON THE PLAYING SPORTS. THEY ARE NOT BE SELECTED THE MY COUNTRY SO, I THINK ACCOUNT ONLY 6% of  FOOTBALL VIEWERS WATCH THE GAME IN LIVE.",20-30 years,"TV audiences for Football on Sky are 19% down, BTSport's Champions League coverage is 40% down. A few articles this week saying that people's attention span's are shorter now then ever and most people now are glued to their phones on sites like twitter with the Football in the background if on at all. I can relate to this as I struggle to watch a full 90 minute game now unless my team is playing, without going on twitter, reading through people's comments on the game rather then actually watching it. It's an annoying habit I need to stop, but like most people, internet browsing on the phone is an addiction so I find sitting through 90 minutes of football without browsing on my phone impossible",3.395,87.7,88.097,32,7,Yes,"Mental illness and cycling. Mental health conditions such as depression, stress and anxiety can be reduced by regular bike riding. This is due to the effects of the exercise itself and because of the enjoyment that riding a bike can bring. i think accounts for why so few Americans ride their bikes to work",20-30 years,"Keep the phone away,Stick to the speed limit.",6.435,106.507,109.572,15,8,Yes,"Like many of us in the “I’m doing everything the experts tell me but I’m still not growing situation, the problem wasn’t that I didn’t have enough information about how to grow an Instagram or that I didn’t execute them well enough , the problem was that I was trying to grow 15 Instagram accounts that just weren’t likely to grow regardless of how well I executed the best practices.",20-30 years,"Older US viewers in particular are rapidly changing their viewing habits, spending more time watching on smartphones, computers, and tablets rather than on the boob tube. ",4.491,107.172,110.184,31,8,Yes,"Global internet users: more than 3.8 billion people around the world use the internet today, up 38 million since January 2017.",20-30 years,"Virtually every court to consider the issue has found that an employer may read emails employees send using the employer's company email system, even if the employee labels or considers those messages to be private.When it comes to personal email accounts, however, the rules are not as clear cut.",2.922,111.113,112.114,18,7,Yes,"Sales of coffee made in single-serve brewing systems, barely noticeable five years ago, now account for more than a quarter of every dollar Americans spend on coffee to drink at home.",10- 20 years,"The United States imports in excess of $4 Billion worth of coffee per year. Americans consume 400 million cups of coffee per day making the United States the leading consumer of coffee in the world.
",Female,,28,"Master's (M.A., M.S.)","$50,000 to $65,000",Roman Catholic,,White/European American,,8,Native (learned from birth),none,provide the good manary,no,well,Yes,103,0,589610
12/10/2018 12:35,12/10/2018 12:50,IP Address,100,902,TRUE,12/10/2018 12:50,R_2QQzCYtpebe9Oet,anonymous,EN,I agree,6,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,Neither agree nor disagree 5,Disagree strongly 1,Disagree strongly 1,Neither agree nor disagree 5,Neither agree nor disagree 5,7,Disagree strongly 1,6,Neither agree nor disagree 5,6,Neither agree nor disagree 5,3,7,70.411,100.062,101.114,6,"
5",No,The prices of the ingredients.,30-40 years,I eat pizza every now and again.,70.554,124.35,125.765,5,5,Yes,"I think it's a pain to watch the teams you want to watch, so people choose not to bother.",20-30 years,"I watch football for fantasy football purposes, so I don't watch it very intently.",58.53,107.933,109.644,5,4,No,I think a lot of Americans live in places where the only reasonable way to get to work is to drive.,40 or more years,I drive most days out of the week.,10.161,95.208,110.494,9,5,Yes,I guess the advancement of technology has moved things along.,40 or more years,"I watch TV sometimes, but I don't for the most part.",20.261,77.041,78.553,7,"Definitely yes

 9",Yes,The ease with which the internet can be used.,10-20 years,I use email and search engines every day.,35.326,118.574,119.643,6,5,No,"I suppose more people are willing to drive coffee if it's that convenient, but I don't know how it really affects the numbers.",20-30 years,"I'm just fine with people drinking coffee, so the numbers are what they are.",Male,,32,High school/GED,"$25,000 to $35,000",Atheist,,White/European American,,2,Native (learned from birth),no,I don't know,"Probably, but I don't know what it was.",No,Yes,56,1,811367
12/10/2018 12:34,12/10/2018 12:50,IP Address,100,982,TRUE,12/10/2018 12:50,R_vfaY8ePgX3ZAq3L,anonymous,EN,I agree,Agree strongly 9,8,7,7,7,8,8,8,Agree strongly 9,8,8,8,Agree strongly 9,Agree strongly 9,Agree strongly 9,3,7,20.173,46.954,82.777,4,3,No,It's in high demand so a relatively premium price can be asked.,30-40 years,I eat a few slices once a week.  It tastes great but isn't particularly healthy...,14.751,143.515,144.881,7,2,Yes,"Time and money.  People just don't have the time to go to games and it's too costly.  Also, people want convenience.  They want to be able to watch the game on their own terms.",30-40 years,"I catch the occasional play as my friends and family watch the games.  I really don't care these days.  It's madness if you think about it.  People are rooting for teams as if they're rooting for themselves.  Meanwhile, that time could be spent ""winning"" the game of life instead of watching others try to be champions.",22.764,160.969,162.177,7,4,Yes,"Because driving does so many things.  It lets us feel in control, it gives us ""alone time"", we can listen to music, it offers freedom, it's generally a possession we cherish and identify with, etc...Further, not all Americans live close enough to work to want to ride a bike.  Beyond that, a lot of people are inherently lazy.",40 or more years,"I love to drive to work and do so five days a week.  Sometimes, it's the best part of my day.  I also run errands on the weekends and at night.  It's time to myself that I can get away and even listen to music without being bothered.",19.683,96.392,155.706,7,3,Yes,It's all about the money and businesses wanting to adapt to technology and consumer demand.  Everyone say what happened with CD sales and business executives didn't want to let that happen with video content (i.e. lose their entire business model and be uncertain as to how to make money).  It's consumer demand and changing times.,40 or more years,"I like to have 1-2 shows to watch.  Something to entertain me and help relieve stress (they're often comedy programs).  Beyond that and some light youtube viewing, I feel like I'm wasting too much of my life if I spend much more time than that.  Moderation is key.",25.229,126.183,127.703,5,6,Yes,"It's the newest technology and there is just so much that can be done on it.  At this point, it's almost mandatory unless you're a rich / isolated person in living in some remote tribe somewhere.  It's the future and everyone has to climb aboard.",10-20 years,"I use both frequently both for business and pleasure.  I search all time as I'm a voracious learner.  I don't care much for social media, however.",8.388,67.195,68.281,8,6,Yes,Desired freshness (who wants old coffee?) and the ability to make what they want when they want.  People want it to be on their terms.,40 or more years,I drink one cup nearly every morning.,Male,,43,Some college,"$80,000 to $100,000",Protestant,,White/European American,,6,Native (learned from birth),"No, it was interesting, actually...and well-designed.",Hmmh.  I'm not sure.  Perhaps just looking for data to evaluate modern trends?,I imagine there might have been but I don't know what it is.,"No, but thanks for the HIT!  I did my best and hope the data is useful!",Yes,122,1,701181
12/10/2018 12:18,12/10/2018 12:50,IP Address,100,1921,TRUE,12/10/2018 12:50,R_3fHs15li59NhmGj,anonymous,EN,I agree,6,7,4,Agree strongly 9,6,Agree strongly 9,7,7,7,Agree strongly 9,Agree strongly 9,Neither agree nor disagree 5,6,Agree strongly 9,6,Neither agree nor disagree 5,Agree strongly 9,31.528,69.979,90.358,5,"
Definitely yes

 9",Yes,Due to increasing demands of pizza the price of pizzas are going high and so current prices of pizza are high.,10-20 years,I consume pizza usually at weekends that too some weekends only.,188.438,557.525,558.874,9,"
 Really good

 9",Yes,Maybe due to prices of tickets I guess.,10-20 years,I don't watch it.,1.857,120.323,121.362,6,"
	Really good

	9
",Yes,I don't know why maybe car is more secure,10-20 years,I drive for work.,42.44,701.15,718.323,9,"
Definitely yes

 9",Yes,"Due to high audience viewing entertainment media, the competitors to enter in that race is increasing and so this accounts for the growing number of available devices",20-30 years,I usually watch the TV at night for nearly 2 to 3 hrs.,48.561,184.27,185.318,6,"Definitely yes

 9",Yes,"Due to widespread of internet one can connect and do great things. So, for people use internet as a medium to learn, communicate, talk, chat etc., which was not possible several years ago. So, this barriers was broken by internet so people are actively using internet to get their lifestyle easier.",10-20 years,"Email is always g-mail and search engine is google. Even a single thing is starting with google. Browser, searching, navigating, books, learning all the stuffs.",20.972,56.358,69.877,7,"
	Really good

	9
",Yes,Due to its taste and refreshment that one gets by having a single cup of brew.,10- 20 years,I usually avoid having a coffee because I am not use to it. ,Male,,22,"Bachelor's (B.A., B.S.)","$50,000 to $65,000",Roman Catholic,,White/European American,,Strongly liberal 1,Native (learned from birth),no,don't know,no,no,Yes,106,0,235619
12/10/2018 12:47,12/10/2018 12:55,IP Address,100,493,TRUE,12/10/2018 12:55,R_xDWaZsvQgQPIFe9,anonymous,EN,I agree,8,8,8,7,7,7,8,Neither agree nor disagree 5,Agree strongly 9,8,7,Agree strongly 9,8,2,8,3,7,2.502,28.974,42.459,7,4,Yes,wages going up and operation costs going up,40 or more years,i eat it in moderation,7.893,48.227,50.093,8,"
 Really not good

 1",Yes,its expensive to buy tickets and to travel,10-20 years,i only watch the superbowl,2.691,30.856,44.181,8,"
	Really not good

	1
",Yes,people are lazy and care more about safety and privacy,10-20 years,i don't drive. i walk or take public transit,4.042,104.946,114.29,11,"
Definitely no

 1",No,devices are becoming more affordable and internet speeds slowly getting faster.,20-30 years,i stream everything on roku or pc,3.02,31.875,38.495,8,4,Yes,access to internet is becoming available in more places,10-20 years,i use every one in a while,4.236,37.375,37.966,8,8,Yes,people like the effects of caffeine,40 or more years,i dont drink coffee,Male,,27,High school/GED,"$10,000 to $15,000",Agnostic,,Latino/Latina,,2,Native (learned from birth),no,opinions and lifestyle,no,great study ,Yes,109,1,672615
12/10/2018 12:46,12/10/2018 12:58,IP Address,100,710,TRUE,12/10/2018 12:58,R_1rAPcq7E1xgj68P,anonymous,EN,I agree,7,7,8,3,Neither agree nor disagree 5,6,8,Neither agree nor disagree 5,8,6,6,3,7,7,Neither agree nor disagree 5,3,7,6.901,83.654,84.863,6,"
Definitely yes

 9",Yes,"I think the more Americans that are demanding it, it may go up in price especially depending on what pizza owners are paying for ingredients.",20-30 years,I love pizza and I have it at least twice a week for lunch and dinner/,32.996,56.941,65.652,6,8,Yes,I think the ticket prices are way too expensive.,20-30 years,I always watch the games at home on my tv,15.621,39.57,41.155,6,5,Yes,They want to get to work faster.,10-20 years,I drive to work alone every day,16.014,70.605,85.07,7,7,Yes,More products are coming out with newer inventions to watch videos on. More americans need them.,10-20 years,I watch tv usually in the morning bwfore work and before bed.,20.289,30.209,52.264,4,8,Yes,Internet is more common for everyone to use to communicate.,20-30 years,I use my email multiple times a day for business and personal use.,42.288,90.704,91.864,5,6,Yes,I think people feel like the coffee is fresher and they wont waste as much as using the drip system.,10- 20 years,I drink a few cups everyday using a drip coffee system.,Female,,30,Some college,"$35,000 to $50,000",Roman Catholic,,White/European American,,Moderate 5,Native (learned from birth),No nothing was confusing,How we reason why certain things are happening in the country,No I think it was a normal study as shown,I thought it was interesting thank you,Yes,91,1,428704
12/10/2018 12:47,12/10/2018 13:03,IP Address,100,910,TRUE,12/10/2018 13:03,R_3HNNSJ3CfTxTfDM,anonymous,EN,I agree,Agree strongly 9,8,8,Agree strongly 9,Agree strongly 9,Neither agree nor disagree 5,Neither agree nor disagree 5,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,6,8,Agree strongly 9,7,3,7,23.88,58.389,76.602,7,3,Yes,"It's readily available, easy to make, and there's a large market for it. ",20-30 years,I eat pizza a few times a month. I usually have 2-4 slices per per pie serving. ,36.068,106.815,107.88,5,6,No,It's very expensive to attend a football game and the hassle of driving to the stadium is too much for most Americans. Many Americans also don't live near a major football stadium. ,20-30 years,I watch TV on my cable television about once a week during the season. ,52.906,93.348,94.659,5,4,Yes,It's less convenient and a lot less people own a bike. It's also much slower than going by car and there aren't many bike lanes available. ,30-40 years,I use my car to drive to work everyday. ,31.356,91.964,92.73,8,6,Yes,There are more and more innovative devices being created to appease the daily consumer with several making it much easier to catch up on their favorite shows. ,10-20 years,I watch about 5-10 hours of TV per week either on demand or live. ,43.923,121.577,122.436,8,"Definitely yes

 9",Yes,"The broader, cheaper availability of the internet and probably the increase in bandwidth and data speeds. ",20-30 years,I use email and use search engines everyday.,38.357,90.686,146.762,6,5,Yes,"It's faster and more convenient to use. Given that the majority of adults drinks coffee, it would make sense that a speedier method would draw more attention. ",10- 20 years,I own a single cup brewer that I use everyday. ,Male,,28,"Bachelor's (B.A., B.S.)","$50,000 to $65,000",Agnostic,,White/European American,,4,"Not native, but fully competent in speaking, listening, reading, and writing",No,Making inference based on facts and figures. ,I'm not sure,I enjoyed this survey.,Yes,119,1,325568
12/10/2018 12:43,12/10/2018 13:03,IP Address,100,1186,TRUE,12/10/2018 13:03,R_3O2iALHT9vFegnX,anonymous,EN,I agree,8,6,4,2,6,3,4,8,8,6,8,3,7,6,8,3,7,35.605,112.158,113.692,6,4,Yes,The market of pizza buyers and sellers. Competition between pizza companies.,40 or more years,I eat pizza occasionally.,56.8,124.318,126.977,5,5,No,Price of tickets and distance from NFL team stadiums.,40 or more years,I watch 2-3 games every week during the season.,27.059,154.994,160.624,9,"
	Really good

	9
",Yes,Distance from work. Most cities don'tt have safe avenues for bike traffic so it's often dangerous to ride.,40 or more years,I drive where ever I go unless for leisure when I walk or ride a bike.,24.697,71.929,92.545,6,"
Definitely yes

 9",Yes,The cost of the devices.,40 or more years,I have a few favorite shows I watch.,31.923,99.21,101.585,5,"Definitely yes

 9",Yes,The lower cost of computing devices from smartphones to pc's.,10-20 years,Use both many times each day.,97.038,154.47,156.609,5,6,Yes,Convenience and the variety it offers.,40 or more years,I drink coffee most days.,Male,,56,Some college,"$65,000 to $80,000",Protestant,,White/European American,,8,Native (learned from birth),No.,Don't know. Didn't speculate. My guess is something about how information effects response.,No.,Best of luck in your research.,Yes,87,1,981874
12/10/2018 12:49,12/10/2018 13:03,IP Address,100,853,TRUE,12/10/2018 13:03,R_3Jxcw6mLkh7likN,anonymous,EN,I agree,8,6,4,3,6,7,8,6,7,8,4,6,Neither agree nor disagree 5,7,7,3,7,5.508,76.456,77.526,17,7,Yes,People make more and  some companies also use more natural ingredients.,20-30 years,I have pizza about once every two weeks. ,7.918,74.221,76.898,13,8,Yes,People are busy doing other things.,10-20 years,I like to catch a game when I can and if the team I like is playing. ,10.81,81.188,82.464,14,6,Yes,"It is a lot harder. Also for women, our makeup and hair would be messed up.",10-20 years,I drive my car where I need to go. ,4.765,47.107,65.815,11,"
Definitely yes

 9",Yes,New technology is coming out all the time. They have internet so you can watch shows on them.,20-30 years,I watch it a lot. Most for a few hours in the evenings.,91.109,172.977,199.599,13,8,Yes,Our world is pretty much all online these days. We communicate with email and social platforms. ,10-20 years,I always use google to find anything and everything I need. And I check my email all through out the day to stay in touch with family and stuff.,15.728,47.903,65.611,12,8,Yes,Serving size and its fast.,20-30 years,I do not drink coffee. Do not like the taste.,Female,,37,Some college,"$80,000 to $100,000",Protestant,,White/European American,,Moderate 5,Native (learned from birth),"No, all clear.",How we feel about articles and statements.,"Possibly, but I am not sure.",No.,Yes,92,1,103174
12/10/2018 12:42,12/10/2018 13:03,IP Address,100,1261,TRUE,12/10/2018 13:03,R_1ik4mhhOfutQl05,anonymous,EN,I agree,8,7,7,Neither agree nor disagree 5,Neither agree nor disagree 5,8,Neither agree nor disagree 5,Neither agree nor disagree 5,7,8,6,Neither agree nor disagree 5,Neither agree nor disagree 5,Agree strongly 9,Neither agree nor disagree 5,3,7,19.745,69.235,70.778,5,6,Yes,The current prices of pizza probably largely depend on the current price of dairy.,20-30 years,I eat pizza occasionally and sometimes make it homemade.,61.693,107.055,118.342,5,5,Yes,"It's my understanding that tickets to a live game are very expensive, so most people would rather see the game for free.",20-30 years,I don't watch football or any other sport at all.,102.109,183.677,195.546,8,2,Yes,"Most Americans aren't fit enough to comfortably ride a bike to work every day, or their work place is too far away to realistically bike there daily.",10-20 years,I walk to work every day and drive maybe twice a week to get groceries and other tasks.,47.514,78.452,97.169,5,3,Yes,I think technology advances in general are responsible.,20-30 years,"I don't own a TV but watch TV shows and movies on my laptop regularly, almost every day.",115.581,223.208,224.621,5,5,Yes,I think the rise in the population in general is the reason internet users are growing. ,10-20 years,I don't send emails often but use internet search engines several times a day.,42.463,123.739,125.148,5,5,Yes,"Single cup brews are convenient and fast, which buying coffee at an establishment isn't always due to high demand.",30-40 years,I purchase an iced latte with almond milk and no sugar from Dunkin Donuts most mornings.,Female,,25,High school/GED,"$25,000 to $35,000",Agnostic,,White/European American,,2,Native (learned from birth),No,Unsure,No,No,Yes,95,1,119986
12/10/2018 12:41,12/10/2018 13:05,IP Address,100,1421,TRUE,12/10/2018 13:05,R_1FOF7zSQeqFQvni,anonymous,EN,I agree,6,7,2,2,4,3,Disagree strongly 1,2,6,7,3,2,3,4,Neither agree nor disagree 5,3,7,27.594,50.348,50.632,7,4,No,"cost of production, supply and demand",40 or more years,I eat pizza somewhat regularly,72.221,106.585,112.219,5,5,Yes,"too expensive
inconvenient
parking
easier and more convenient to watch at home",30-40 years,I watch football on TV at home,614.695,656.078,681.443,5,2,Yes,"Lack of bike lanes
Takes too long
Don't own bikes
Not convenient
People are lazy
People are used to driving cars",40 or more years,I drive myself most places I go because walking and public transport are usually not viable options where I live,6.079,26.093,29.022,6,5,No,technological advances,40 or more years,I watch some TV most days,22.4,39.473,55.424,7,8,Yes,The internet is increasingly used for all sorts of business and everyday activities,30-40 years,I use email and internet searching daily,247.896,259.407,267.261,6,5,Yes,people are lazy and like convenience,40 or more years,I drink one cup of coffee most days,Male,,31,"Bachelor's (B.A., B.S.)","$50,000 to $65,000",Atheist,,White/European American,,2,Native (learned from birth),no,opinions and judgments,i dont know,"Too long, too much reading and writing for the compensation provided. Significantly underpaid. Please do better.
Thanks.",Yes,57,1,932561
